DesignName,ParticipantID,TrialID,Block1,VV,OC
Preattention-Experiment,1,1,1,Size,Medium
Preattention-Experiment,1,2,1,Size,Large
Preattention-Experiment,1,3,1,Size,Large
Preattention-Experiment,1,4,1,Size,Small
Preattention-Experiment,1,5,1,Size,Medium
Preattention-Experiment,1,6,1,Size,Medium
Preattention-Experiment,1,7,1,Size,Small
Preattention-Experiment,1,8,1,Size,Large
Preattention-Experiment,1,9,1,Size,Large
Preattention-Experiment,1,10,1,Size,Large
Preattention-Experiment,1,11,1,Size,Medium
Preattention-Experiment,1,12,1,Size,Small
Preattention-Experiment,1,13,1,Size,Small
Preattention-Experiment,1,14,1,Size,Medium
Preattention-Experiment,1,15,1,Size,Large
Preattention-Experiment,1,16,1,Size,Medium
Preattention-Experiment,1,17,1,Size,Small
Preattention-Experiment,1,18,1,Size,Small
Preattention-Experiment,1,19,2,Orientation,Medium
Preattention-Experiment,1,20,2,Orientation,Large
Preattention-Experiment,1,21,2,Orientation,Large
Preattention-Experiment,1,22,2,Orientation,Small
Preattention-Experiment,1,23,2,Orientation,Medium
Preattention-Experiment,1,24,2,Orientation,Medium
Preattention-Experiment,1,25,2,Orientation,Small
Preattention-Experiment,1,26,2,Orientation,Large
Preattention-Experiment,1,27,2,Orientation,Large
Preattention-Experiment,1,28,2,Orientation,Large
Preattention-Experiment,1,29,2,Orientation,Medium
Preattention-Experiment,1,30,2,Orientation,Small
Preattention-Experiment,1,31,2,Orientation,Small
Preattention-Experiment,1,32,2,Orientation,Medium
Preattention-Experiment,1,33,2,Orientation,Large
Preattention-Experiment,1,34,2,Orientation,Medium
Preattention-Experiment,1,35,2,Orientation,Small
Preattention-Experiment,1,36,2,Orientation,Small
Preattention-Experiment,1,37,3,OrientationSize,Medium
Preattention-Experiment,1,38,3,OrientationSize,Large
Preattention-Experiment,1,39,3,OrientationSize,Large
Preattention-Experiment,1,40,3,OrientationSize,Small
Preattention-Experiment,1,41,3,OrientationSize,Medium
Preattention-Experiment,1,42,3,OrientationSize,Medium
Preattention-Experiment,1,43,3,OrientationSize,Small
Preattention-Experiment,1,44,3,OrientationSize,Large
Preattention-Experiment,1,45,3,OrientationSize,Large
Preattention-Experiment,1,46,3,OrientationSize,Large
Preattention-Experiment,1,47,3,OrientationSize,Medium
Preattention-Experiment,1,48,3,OrientationSize,Small
Preattention-Experiment,1,49,3,OrientationSize,Small
Preattention-Experiment,1,50,3,OrientationSize,Medium
Preattention-Experiment,1,51,3,OrientationSize,Large
Preattention-Experiment,1,52,3,OrientationSize,Medium
Preattention-Experiment,1,53,3,OrientationSize,Small
Preattention-Experiment,1,54,3,OrientationSize,Small
Preattention-Experiment,2,55,1,OrientationSize,Medium
Preattention-Experiment,2,56,1,OrientationSize,Large
Preattention-Experiment,2,57,1,OrientationSize,Large
Preattention-Experiment,2,58,1,OrientationSize,Small
Preattention-Experiment,2,59,1,OrientationSize,Medium
Preattention-Experiment,2,60,1,OrientationSize,Medium
Preattention-Experiment,2,61,1,OrientationSize,Small
Preattention-Experiment,2,62,1,OrientationSize,Large
Preattention-Experiment,2,63,1,OrientationSize,Large
Preattention-Experiment,2,64,1,OrientationSize,Large
Preattention-Experiment,2,65,1,OrientationSize,Medium
Preattention-Experiment,2,66,1,OrientationSize,Small
Preattention-Experiment,2,67,1,OrientationSize,Small
Preattention-Experiment,2,68,1,OrientationSize,Medium
Preattention-Experiment,2,69,1,OrientationSize,Large
Preattention-Experiment,2,70,1,OrientationSize,Medium
Preattention-Experiment,2,71,1,OrientationSize,Small
