DesignName,ParticipantID,TrialID,Block1,VV,OC,visualSearchTime,ErrorCount
Preattention-Experiment,1,1,1,Size,Medium,878,0
Preattention-Experiment,1,2,1,Size,Large,795,0
Preattention-Experiment,1,3,1,Size,Large,815,0
Preattention-Experiment,1,4,1,Size,Small,603,0
Preattention-Experiment,1,5,1,Size,Medium,711,0
Preattention-Experiment,1,6,1,Size,Medium,784,0
Preattention-Experiment,1,7,1,Size,Small,861,0
Preattention-Experiment,1,8,1,Size,Large,859,0
Preattention-Experiment,1,9,1,Size,Large,610,0
Preattention-Experiment,1,10,1,Size,Large,661,0
Preattention-Experiment,1,11,1,Size,Medium,783,0
Preattention-Experiment,1,12,1,Size,Small,751,0
Preattention-Experiment,1,13,1,Size,Small,735,0
Preattention-Experiment,1,14,1,Size,Medium,855,0
Preattention-Experiment,1,15,1,Size,Large,1295,0
Preattention-Experiment,1,16,1,Size,Medium,830,0
Preattention-Experiment,1,17,1,Size,Small,589,0
Preattention-Experiment,1,18,1,Size,Small,768,0
Preattention-Experiment,1,19,2,Orientation,Medium,635,0
Preattention-Experiment,1,20,2,Orientation,Large,886,0
Preattention-Experiment,1,21,2,Orientation,Large,699,0
Preattention-Experiment,1,22,2,Orientation,Small,639,0
Preattention-Experiment,1,23,2,Orientation,Medium,1020,0
Preattention-Experiment,1,24,2,Orientation,Medium,711,0
Preattention-Experiment,1,25,2,Orientation,Small,569,0
Preattention-Experiment,1,26,2,Orientation,Large,668,0
Preattention-Experiment,1,27,2,Orientation,Large,766,0
Preattention-Experiment,1,28,2,Orientation,Large,814,0
Preattention-Experiment,1,29,2,Orientation,Medium,828,0
Preattention-Experiment,1,30,2,Orientation,Small,686,0
Preattention-Experiment,1,31,2,Orientation,Small,992,0
Preattention-Experiment,1,32,2,Orientation,Medium,819,0
Preattention-Experiment,1,33,2,Orientation,Large,1083,0
Preattention-Experiment,1,34,2,Orientation,Medium,698,0
Preattention-Experiment,1,35,2,Orientation,Small,447,0
Preattention-Experiment,1,36,2,Orientation,Small,792,0
Preattention-Experiment,1,37,3,OrientationSize,Medium,5092,0
Preattention-Experiment,1,38,3,OrientationSize,Large,3351,0
Preattention-Experiment,1,39,3,OrientationSize,Large,3812,0
Preattention-Experiment,1,40,3,OrientationSize,Small,1377,0
Preattention-Experiment,1,41,3,OrientationSize,Medium,5234,0
Preattention-Experiment,1,42,3,OrientationSize,Medium,3006,0
Preattention-Experiment,1,43,3,OrientationSize,Small,1811,0
Preattention-Experiment,1,44,3,OrientationSize,Large,4658,0
Preattention-Experiment,1,45,3,OrientationSize,Large,2342,0
Preattention-Experiment,1,46,3,OrientationSize,Large,3868,0
