DesignName,ParticipantID,TrialID,Block1,VV,OC,visualSearchTime,ErrorCount
Preattention-Experiment,3,109,1,Orientation,Medium,1458,0
Preattention-Experiment,3,110,1,Orientation,Large,1458,0
Preattention-Experiment,3,111,1,Orientation,Large,1189,0
Preattention-Experiment,3,112,1,Orientation,Small,921,0
Preattention-Experiment,3,113,1,Orientation,Medium,3034,0
Preattention-Experiment,3,114,1,Orientation,Medium,2399,0
Preattention-Experiment,3,115,1,Orientation,Small,868,0
Preattention-Experiment,3,116,1,Orientation,Large,916,0
Preattention-Experiment,3,117,1,Orientation,Large,1295,0
Preattention-Experiment,3,118,1,Orientation,Large,1155,0
Preattention-Experiment,3,119,1,Orientation,Medium,838,0
Preattention-Experiment,3,120,1,Orientation,Small,1182,0
Preattention-Experiment,3,121,1,Orientation,Small,1197,0
Preattention-Experiment,3,122,1,Orientation,Medium,873,0
Preattention-Experiment,3,123,1,Orientation,Large,1201,0
Preattention-Experiment,3,124,1,Orientation,Medium,1525,0
Preattention-Experiment,3,125,1,Orientation,Small,947,0
Preattention-Experiment,3,126,1,Orientation,Small,927,0
Preattention-Experiment,3,127,2,OrientationSize,Medium,6115,0
Preattention-Experiment,3,128,2,OrientationSize,Large,8505,0
Preattention-Experiment,3,129,2,OrientationSize,Large,3525,0
Preattention-Experiment,3,130,2,OrientationSize,Small,2316,0
Preattention-Experiment,3,131,2,OrientationSize,Medium,5314,0
Preattention-Experiment,3,132,2,OrientationSize,Medium,4285,0
Preattention-Experiment,3,133,2,OrientationSize,Small,3147,0
Preattention-Experiment,3,134,2,OrientationSize,Large,9182,0
Preattention-Experiment,3,135,2,OrientationSize,Large,5392,0
Preattention-Experiment,3,136,2,OrientationSize,Large,4468,0
Preattention-Experiment,3,137,2,OrientationSize,Medium,2473,0
Preattention-Experiment,3,138,2,OrientationSize,Small,3076,0
Preattention-Experiment,3,139,2,OrientationSize,Small,2361,0
Preattention-Experiment,3,140,2,OrientationSize,Medium,4238,0
Preattention-Experiment,3,141,2,OrientationSize,Large,4838,0
Preattention-Experiment,3,142,2,OrientationSize,Medium,3461,0
Preattention-Experiment,3,143,2,OrientationSize,Small,2966,0
Preattention-Experiment,3,144,2,OrientationSize,Small,1708,0
Preattention-Experiment,3,145,3,Size,Medium,1672,0
Preattention-Experiment,3,146,3,Size,Large,1348,0
Preattention-Experiment,3,147,3,Size,Large,946,0
Preattention-Experiment,3,148,3,Size,Small,794,0
Preattention-Experiment,3,149,3,Size,Medium,791,0
Preattention-Experiment,3,150,3,Size,Medium,720,0
Preattention-Experiment,3,151,3,Size,Small,770,0
Preattention-Experiment,3,152,3,Size,Large,754,0
Preattention-Experiment,3,153,3,Size,Large,729,0
Preattention-Experiment,3,154,3,Size,Large,687,0
Preattention-Experiment,3,155,3,Size,Medium,740,0
Preattention-Experiment,3,156,3,Size,Small,844,0
Preattention-Experiment,3,157,3,Size,Small,919,0
Preattention-Experiment,3,158,3,Size,Medium,728,0
Preattention-Experiment,3,159,3,Size,Large,738,0
Preattention-Experiment,3,160,3,Size,Medium,657,0
Preattention-Experiment,3,161,3,Size,Small,540,0
Preattention-Experiment,3,162,3,Size,Small,819,0
